/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=30361914089420278, created_at_us=1701667510518378, block_time_us=118218, runnable_time_us=422222, queued_time_us=440171, on_cpu_time_us=13121, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30372909205698043, created_at_us=1701667510538700, block_time_us=112482, runnable_time_us=407301, queued_time_us=435782, on_cpu_time_us=17942, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30364113112675831, created_at_us=1701667510534973, block_time_us=66429, runnable_time_us=434021, queued_time_us=464028, on_cpu_time_us=12780, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30348719949886960, created_at_us=1701667510511449, block_time_us=110899, runnable_time_us=439538, queued_time_us=438484, on_cpu_time_us=11754, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30366312135931384, created_at_us=1701667510535183, block_time_us=133852, runnable_time_us=431679, queued_time_us=402684, on_cpu_time_us=8843, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30375108228953596, created_at_us=1701667510538798, block_time_us=95239, runnable_time_us=394680, queued_time_us=472713, on_cpu_time_us=10824, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30379506275464702, created_at_us=1701667510538997, block_time_us=114854, runnable_time_us=419586, queued_time_us=425024, on_cpu_time_us=13646, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30353117996398066, created_at_us=1701667510511698, block_time_us=110925, runnable_time_us=457557, queued_time_us=422873, on_cpu_time_us=9190, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30377307252209149, created_at_us=1701667510538886, block_time_us=76830, runnable_time_us=451381, queued_time_us=430289, on_cpu_time_us=14864, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30368511159186937, created_at_us=1701667510535708, block_time_us=116397, runnable_time_us=408361, queued_time_us=440416, on_cpu_time_us=11348, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30346520926631407, created_at_us=1701667510511337, block_time_us=61381, runnable_time_us=472349, queued_time_us=455384, on_cpu_time_us=11804, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30370710182442490, created_at_us=1701667510535783, block_time_us=125549, runnable_time_us=435894, queued_time_us=406677, on_cpu_time_us=8337, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30350918973142513, created_at_us=1701667510511632, block_time_us=100593, runnable_time_us=446314, queued_time_us=442939, on_cpu_time_us=10753, yielding_time_us=0, died_at_us=0, preempt_count=0
