/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received SetScheduler. type=1, preemption_interval_us=-1
killing child process (pid=1887) ...
child (pid=1887) exited with status 0
/usr/bin/sudo bazel-bin/fifo_centralized_agent --ghost_cpus 0-7 
Core map
(  0 )	(  1 )	(  2 )	(  3 )	(  4 )	(  5 )	(  6 )	(  7 )

Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=4215527580895108, created_at_us=1702078216181470, block_time_us=538, runnable_time_us=948, queued_time_us=128, on_cpu_time_us=32822, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=4211129534384002, created_at_us=1702078216181229, block_time_us=309, runnable_time_us=580, queued_time_us=66, on_cpu_time_us=33846, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=4213328557639555, created_at_us=1702078216181352, block_time_us=320, runnable_time_us=586, queued_time_us=77, on_cpu_time_us=33776, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=4215527580895108, created_at_us=1702078216181470, block_time_us=515, runnable_time_us=942, queued_time_us=162, on_cpu_time_us=22345, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=4211129534384002, created_at_us=1702078216181229, block_time_us=133, runnable_time_us=183, queued_time_us=27, on_cpu_time_us=23684, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=4213328557639555, created_at_us=1702078216181352, block_time_us=85, runnable_time_us=196, queued_time_us=23, on_cpu_time_us=23667, yielding_time_us=0, died_at_us=0, preempt_count=3
Received Metric. gtid=4215527580895108, created_at_us=1702078216181470, block_time_us=2345, runnable_time_us=3348, queued_time_us=318, on_cpu_time_us=494188, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=4211129534384002, created_at_us=1702078216181229, block_time_us=2186, runnable_time_us=3374, queued_time_us=328, on_cpu_time_us=494114, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=4213328557639555, created_at_us=1702078216181352, block_time_us=2235, runnable_time_us=3205, queued_time_us=327, on_cpu_time_us=494230, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=4215527580895108, created_at_us=1702078216181470, block_time_us=525, runnable_time_us=651, queued_time_us=58, on_cpu_time_us=117476, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=4211129534384002, created_at_us=1702078216181229, block_time_us=613, runnable_time_us=946, queued_time_us=76, on_cpu_time_us=117581, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=4213328557639555, created_at_us=1702078216181352, block_time_us=537, runnable_time_us=714, queued_time_us=62, on_cpu_time_us=116972, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=4215527580895108, created_at_us=1702078216181470, block_time_us=3677, runnable_time_us=5803, queued_time_us=792, on_cpu_time_us=370990, yielding_time_us=11, died_at_us=0, preempt_count=2
