/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received SetScheduler. type=1, preemption_interval_us=-1
killing child process (pid=26183) ...
child (pid=26183) exited with status 0
/usr/bin/sudo bazel-bin/fifo_centralized_agent --ghost_cpus 0-7 
Core map
(  0 )	(  1 )	(  2 )	(  3 )	(  4 )	(  5 )	(  6 )	(  7 )

Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=57640797574555243, created_at_us=1702071408139189, block_time_us=0, runnable_time_us=58, queued_time_us=1, on_cpu_time_us=359690, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=57642996597810796, created_at_us=1702071408139268, block_time_us=0, runnable_time_us=9, queued_time_us=0, on_cpu_time_us=359670, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57640797574555243, created_at_us=1702071408139189, block_time_us=0, runnable_time_us=11, queued_time_us=0, on_cpu_time_us=352634, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57642996597810796, created_at_us=1702071408139268, block_time_us=10, runnable_time_us=21, queued_time_us=0, on_cpu_time_us=446679, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57640797574555243, created_at_us=1702071408139189, block_time_us=0, runnable_time_us=46, queued_time_us=0, on_cpu_time_us=671321, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=57642996597810796, created_at_us=1702071408139268, block_time_us=0, runnable_time_us=44, queued_time_us=1, on_cpu_time_us=545249, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=57640797574555243, created_at_us=1702071408139189, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57642996597810796, created_at_us=1702071408139268, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57640797574555243, created_at_us=1702071408139189, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57642996597810796, created_at_us=1702071408139268, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57640797574555243, created_at_us=1702071408139189, block_time_us=1, runnable_time_us=29, queued_time_us=0, on_cpu_time_us=991947, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57642996597810796, created_at_us=1702071408139268, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57640797574555243, created_at_us=1702071408139189, block_time_us=0, runnable_time_us=50, queued_time_us=0, on_cpu_time_us=239942, yielding_time_us=0, died_at_us=0, preempt_count=3
Received Metric. gtid=57642996597810796, created_at_us=1702071408139268, block_time_us=1, runnable_time_us=39, queued_time_us=0, on_cpu_time_us=1565666, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57640797574555243, created_at_us=1702071408139189, block_time_us=4, runnable_time_us=42, queued_time_us=2, on_cpu_time_us=847985, yielding_time_us=0, died_at_us=0, preempt_count=3
Received Metric. gtid=57642996597810796, created_at_us=1702071408139268, block_time_us=2, runnable_time_us=45, queued_time_us=1, on_cpu_time_us=493935, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=57640797574555243, created_at_us=1702071408139189, block_time_us=6, runnable_time_us=24, queued_time_us=0, on_cpu_time_us=378360, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57642996597810796, created_at_us=1702071408139268, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57640797574555243, created_at_us=1702071408139189, block_time_us=0, runnable_time_us=22, queued_time_us=0, on_cpu_time_us=161250, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57642996597810796, created_at_us=1702071408139268, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57640797574555243, created_at_us=1702071408139189, block_time_us=8, runnable_time_us=22, queued_time_us=1, on_cpu_time_us=487992, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57642996597810796, created_at_us=1702071408139268, block_time_us=6, runnable_time_us=57, queued_time_us=0, on_cpu_time_us=1087082, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57640797574555243, created_at_us=1702071408139189, block_time_us=22, runnable_time_us=22, queued_time_us=0, on_cpu_time_us=230157, yielding_time_us=0, died_at_us=1702071412860861, preempt_count=0
Received Metric. gtid=57642996597810796, created_at_us=1702071408139268, block_time_us=112, runnable_time_us=60, queued_time_us=3, on_cpu_time_us=222890, yielding_time_us=0, died_at_us=1702071412860864, preempt_count=0
