/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=57763942876866211, created_at_us=1702071477410538, block_time_us=1, runnable_time_us=912256, queued_time_us=92, on_cpu_time_us=40, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57766141900121764, created_at_us=1702071477410835, block_time_us=3, runnable_time_us=335847, queued_time_us=246, on_cpu_time_us=12, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57763942876866211, created_at_us=1702071477410538, block_time_us=0, runnable_time_us=1053905, queued_time_us=61, on_cpu_time_us=26, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57766141900121764, created_at_us=1702071477410835, block_time_us=0, runnable_time_us=995968, queued_time_us=11, on_cpu_time_us=5, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57763942876866211, created_at_us=1702071477410538, block_time_us=0, runnable_time_us=555932, queued_time_us=84, on_cpu_time_us=24, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57766141900121764, created_at_us=1702071477410835, block_time_us=0, runnable_time_us=988010, queued_time_us=13, on_cpu_time_us=5, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57763942876866211, created_at_us=1702071477410538, block_time_us=0, runnable_time_us=512150, queued_time_us=33, on_cpu_time_us=34, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57766141900121764, created_at_us=1702071477410835, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57763942876866211, created_at_us=1702071477410538, block_time_us=0, runnable_time_us=932103, queued_time_us=14, on_cpu_time_us=13, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57766141900121764, created_at_us=1702071477410835, block_time_us=0, runnable_time_us=870739, queued_time_us=0, on_cpu_time_us=5, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57763942876866211, created_at_us=1702071477410538, block_time_us=0, runnable_time_us=721520, queued_time_us=70, on_cpu_time_us=24, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57766141900121764, created_at_us=1702071477410835, block_time_us=0, runnable_time_us=1145222, queued_time_us=10, on_cpu_time_us=3, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57763942876866211, created_at_us=1702071477410538, block_time_us=0, runnable_time_us=631918, queued_time_us=49, on_cpu_time_us=31, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57766141900121764, created_at_us=1702071477410835, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57763942876866211, created_at_us=1702071477410538, block_time_us=0, runnable_time_us=646665, queued_time_us=0, on_cpu_time_us=15, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57766141900121764, created_at_us=1702071477410835, block_time_us=0, runnable_time_us=995984, queued_time_us=0, on_cpu_time_us=2, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57763942876866211, created_at_us=1702071477410538, block_time_us=0, runnable_time_us=545233, queued_time_us=60, on_cpu_time_us=21, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57766141900121764, created_at_us=1702071477410835, block_time_us=0, runnable_time_us=988002, queued_time_us=16, on_cpu_time_us=3, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57763942876866211, created_at_us=1702071477410538, block_time_us=0, runnable_time_us=575941, queued_time_us=34, on_cpu_time_us=22, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57766141900121764, created_at_us=1702071477410835, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57763942876866211, created_at_us=1702071477410538, block_time_us=0, runnable_time_us=551981, queued_time_us=16, on_cpu_time_us=25, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57766141900121764, created_at_us=1702071477410835, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
