/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=57005279853700426, created_at_us=1702071057434967, block_time_us=4, runnable_time_us=584174, queued_time_us=16, on_cpu_time_us=13, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57007478876955979, created_at_us=1702071057435070, block_time_us=0, runnable_time_us=55882, queued_time_us=49, on_cpu_time_us=4, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57005279853700426, created_at_us=1702071057434967, block_time_us=0, runnable_time_us=711702, queued_time_us=25, on_cpu_time_us=26, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57007478876955979, created_at_us=1702071057435070, block_time_us=0, runnable_time_us=1147258, queued_time_us=0, on_cpu_time_us=3, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57005279853700426, created_at_us=1702071057434967, block_time_us=0, runnable_time_us=627202, queued_time_us=0, on_cpu_time_us=18, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57007478876955979, created_at_us=1702071057435070, block_time_us=0, runnable_time_us=260659, queued_time_us=12, on_cpu_time_us=5, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57005279853700426, created_at_us=1702071057434967, block_time_us=0, runnable_time_us=561305, queued_time_us=58, on_cpu_time_us=24, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57007478876955979, created_at_us=1702071057435070, block_time_us=0, runnable_time_us=1015498, queued_time_us=0, on_cpu_time_us=6, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57005279853700426, created_at_us=1702071057434967, block_time_us=1, runnable_time_us=570853, queued_time_us=15, on_cpu_time_us=22, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57007478876955979, created_at_us=1702071057435070, block_time_us=0, runnable_time_us=459365, queued_time_us=11, on_cpu_time_us=5, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57005279853700426, created_at_us=1702071057434967, block_time_us=0, runnable_time_us=619200, queued_time_us=16, on_cpu_time_us=14, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57007478876955979, created_at_us=1702071057435070, block_time_us=0, runnable_time_us=541088, queued_time_us=13, on_cpu_time_us=5, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57005279853700426, created_at_us=1702071057434967, block_time_us=0, runnable_time_us=701421, queued_time_us=65, on_cpu_time_us=27, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57007478876955979, created_at_us=1702071057435070, block_time_us=0, runnable_time_us=862873, queued_time_us=0, on_cpu_time_us=7, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57005279853700426, created_at_us=1702071057434967, block_time_us=0, runnable_time_us=644769, queued_time_us=0, on_cpu_time_us=12, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57007478876955979, created_at_us=1702071057435070, block_time_us=0, runnable_time_us=592680, queued_time_us=0, on_cpu_time_us=6, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57005279853700426, created_at_us=1702071057434967, block_time_us=0, runnable_time_us=506912, queued_time_us=30, on_cpu_time_us=21, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57007478876955979, created_at_us=1702071057435070, block_time_us=0, runnable_time_us=528411, queued_time_us=12, on_cpu_time_us=4, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57005279853700426, created_at_us=1702071057434967, block_time_us=0, runnable_time_us=532249, queued_time_us=10, on_cpu_time_us=15, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57007478876955979, created_at_us=1702071057435070, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
