sched_type,preemption_interval_us,throughput,proportion_long_jobs,num_short,num_long,short_0_pct,short_25_pct,short_50_pct,short_75_pct,short_90_pct,short_99_pct,short_99.9_pct,short_100_pct,long_0_pct,long_25_pct,long_50_pct,long_75_pct,long_90_pct,long_99_pct,long_99.9_pct,long_100_pct
dFCFS,0,30000,0,150000,0,1.158000,1.867000,2.524000,2.969000,5.454100,7.366030,28.069017,1701.144000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,60000,0,300000,0,1.141000,2.022000,2.609000,3.206250,5.385000,9.193010,23.891034,1919.586000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,90000,0,450000,0,1.122000,2.148000,2.708000,3.519000,5.459000,9.608000,37.767047,2308.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,120000,0,600000,0,1.128000,2.176000,2.769000,3.750000,5.546000,9.977010,31.414006,2114.410000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,150000,0,750000,0,1.120000,2.213000,2.828000,3.962000,5.721000,10.267000,42.725028,7652.099000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,180000,0,900000,0,1.124000,2.231000,2.859000,4.077000,5.810000,10.392000,28.935008,3701.955000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,210000,0,1050000,0,1.117000,2.302000,2.993000,4.492000,6.239000,13.440000,75.210015,8987.846000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,30000,0.01,148491,1509,1.154000,2.233000,2.837000,6.124000,24.294000,784.988400,3354.868140,8624.326000,1000.230000,1001.210000,1001.948000,1006.174000,1035.188400,2558.847800,5478.996516,8980.772000
dFCFS,0,60000,0.01,296914,3086,1.136000,2.240000,2.824000,5.114000,18.041700,972.517610,2036.478916,7675.565000,1000.187000,1001.286500,1001.864500,1004.543750,1029.753500,2080.428900,6003.286270,13499.253000
dFCFS,0,90000,0.01,445423,4577,1.132000,2.086000,2.670000,3.437000,5.107000,9.605000,78.408590,1980.456000,1000.156000,1001.084000,1001.677000,1002.481000,1004.252400,1013.667400,2118.273040,5615.838000
dFCFS,0,120000,0.01,594061,5939,1.128000,2.173000,2.753000,3.709000,5.347000,10.341400,51.010300,6695.155000,1000.175000,1001.228000,1001.801000,1002.800500,1004.468400,1026.448560,1540.540940,6576.701000
dFCFS,0,150000,0.01,742532,7468,1.119000,2.347000,3.022000,4.601000,7.218000,893.182590,2507.451509,6625.045000,1000.220000,1001.362750,1002.026500,1003.680000,1006.627600,1984.619330,3765.106707,23824.862000
dFCFS,0,180000,0.01,891099,8901,1.127000,2.363000,3.074000,4.565000,6.417000,38.411040,1021.619010,2393.977000,1000.190000,1001.379000,1002.094000,1003.681000,1005.752000,1276.385000,2835.131300,19561.971000
dFCFS,0,210000,0.01,1039364,10636,1.119000,2.462000,3.346000,5.112000,7.553000,117.985290,1079.211274,3678.409000,1000.190000,1001.455000,1002.370000,1004.232250,1006.846500,1227.926750,2565.618415,7028.018000
dFCFS,0,30000,0.1,134831,15169,1.126000,1.857000,2.491000,2.901000,5.127000,127.026600,3957.321580,5017.955000,1000.165000,1000.881000,1001.520000,1001.964000,1004.511000,1232.826080,4952.893000,6003.425000
dFCFS,0,60000,0.1,270015,29985,1.131000,2.549000,3.804000,94.755000,332.320800,793.780640,1164.469726,1606.007000,1000.176000,1001.562000,1002.841000,1093.187000,1329.871400,1786.052760,2149.500104,2540.201000
dFCFS,0,90000,0.1,404725,45275,1.364000,189770.762000,376436.588000,522876.908000,982924.552600,2573757.958680,2581919.538412,2583017.546000,1000.985000,189757.199000,371640.481000,523460.644500,968314.002000,2572517.115240,2582760.973146,2583984.151000
dFCFS,0,120000,0.1,539921,60079,1.354000,641434.514000,1341741.355000,2093687.559000,2578141.953000,2827947.426400,2847673.303040,2852436.490000,1001.297000,651783.067000,1337795.404000,2077868.214500,2575577.241200,2827947.766540,2848708.571378,2851615.459000
dFCFS,0,150000,0.1,675317,74683,1.665000,1118011.630000,2252265.664000,3831715.307000,5941510.400400,6371754.832760,6407267.306056,6412899.291000,1000.413000,1125105.731000,2255118.533000,3913262.697000,5953783.533000,6370622.485800,6408149.760496,6412302.028000
dFCFS,0,180000,0.1,809747,90253,1.294000,1587825.733500,3251387.944000,4934490.552000,5921984.785600,6510698.302440,6573024.017814,6580842.382000,1000.445000,1614997.765000,3259429.881000,4932015.249000,5929113.179600,6514146.063600,6574019.804200,6580465.082000
dFCFS,0,210000,0.1,945165,104835,1.609000,2069553.849000,4959358.654000,7078940.781000,9259416.637400,10025767.197760,30032676.129272,30037686.941000,1001.697000,2090713.052000,4983179.441000,7083482.117000,9272901.607000,10028869.445260,30033063.987230,30037562.910000
dFCFS,0,30000,0.5,74863,75137,1.676000,1104832.327000,2213635.746000,4605369.303500,5470236.301400,5862696.402440,5902618.158992,5907644.996000,1002.936000,1106098.767000,2217411.038000,4644516.336000,5467965.428400,5863274.366280,5903002.537488,5907358.804000
dFCFS,0,60000,0.5,150330,149670,2.438000,3476676.106500,7044987.545500,10818413.726000,30618006.800800,31069999.881260,31114546.010281,31119516.550000,1000.654000,3452988.687750,7068666.335000,10838568.138750,30621066.580600,31069119.627020,31114515.896769,31119449.851000
cFCFS,500,30000,0,150000,0,1.136000,2.162000,2.725000,3.364000,5.187000,12.396000,91.352087,1928.686000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
