sched_type,preemption_interval_us,throughput,proportion_long_jobs,num_short,num_long,short_0_pct,short_25_pct,short_50_pct,short_75_pct,short_90_pct,short_99_pct,short_99.9_pct,short_100_pct,long_0_pct,long_25_pct,long_50_pct,long_75_pct,long_90_pct,long_99_pct,long_99.9_pct,long_100_pct
dFCFS,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,25000,0,25000,0,4.726000,12.395250,32.779500,93.869250,299.816500,8213.935230,8602.844798,12494.766000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,50000,0,50000,0,3.821000,12.187000,43.012000,211.629250,572.415400,11983.651520,12774.308255,15772.886000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,75000,0,75000,0,4.408000,12.915000,58.033000,406.227500,1000.196700,2167.437050,3197.430412,12285.214000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,100000,0,100000,0,3.985000,13.033000,34.733500,302.371500,857.534400,4322.213760,5712.423563,23986.216000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,125000,0,125000,0,4.389000,14.648750,59.226500,438.364750,1148.970400,2649.120840,3497.821266,11764.453000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,150000,0,150000,0,4.499000,16.119000,79.110500,736.637000,1802.816800,5212.576250,7940.427574,15549.038000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,175000,0,175000,0,3.679000,17.970000,109.449000,724.076500,1820.234700,4531.893350,6547.917049,14884.551000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,200000,0,200000,0,4.427000,22.154000,259.015500,1249.058000,3146.920400,8793.858000,12115.967605,30405.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,225000,0,225000,0,4.495000,25.491750,242.085000,1159.226250,2510.210400,4513.858660,7238.554017,21254.566000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,250000,0,250000,0,3.986000,36.938000,503.889000,1817.191500,3655.023500,6407.672040,9236.556340,41181.487000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,275000,0,275000,0,3.956000,59.533250,733.488500,2854.250500,5640.088600,12745.077980,16542.047691,38423.329000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,300000,0,300000,0,4.432000,34.286750,336.797000,1366.743000,3176.137700,6398.672690,7121.443677,29591.897000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,325000,0,325000,0,3.815000,203.800750,1432.387000,3684.171750,6686.288900,12020.945410,25180.743127,60727.816000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,350000,0,350000,0,4.453000,206.964500,1417.024500,4022.042750,7182.729300,16020.514480,18278.493800,43590.133000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,375000,0,375000,0,3.865000,147.936750,1386.337000,3446.328750,6326.709200,13068.836850,15917.401627,38359.519000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,400000,0,400000,0,3.829000,258.892750,1702.120000,5030.957750,8479.811100,13613.746510,15682.902524,40818.484000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,425000,0,425000,0,4.766000,624.891000,2820.428500,6584.604750,11105.777200,16435.104850,18169.788138,83660.698000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,450000,0,450000,0,4.735000,690.632000,3557.353000,11649.023750,18458.072100,25790.262040,29628.587268,81618.710000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,475000,0,475000,0,4.815000,3102.328000,6085.524500,9117.886750,12314.551300,15398.095940,16608.802181,74151.515000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,500000,0,500000,0,4.760000,2354.250250,4266.387000,8074.625500,10010.576300,13808.076400,14369.382099,74593.077000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,0,0.01,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,25000,0.01,24745,255,4.671000,12.193000,33.303000,76.261000,228.368600,775.761240,3251.726808,10637.619000,1005.651000,1010.529500,1031.866000,1096.777000,1293.424200,2706.923100,4167.108826,4439.519000
dFCFS,0,50000,0.01,49491,509,4.119000,11.360000,25.655000,167.844500,625.550000,2746.891000,3672.726330,12021.915000,1004.727000,1010.470000,1022.338000,1203.718000,1653.602200,4317.064160,9514.599624,12324.054000
dFCFS,0,75000,0.01,74250,750,3.958000,12.245250,24.526500,236.644750,1016.838900,4895.903830,6221.206706,13839.869000,1004.287000,1011.258000,1024.016000,1270.057750,2225.356100,6044.332960,9975.430323,11928.877000
dFCFS,0,100000,0.01,99011,989,4.467000,13.193000,32.582000,330.480000,1316.217000,4707.562500,6460.247930,47944.159000,1003.839000,1012.974000,1051.866000,1412.952000,2389.158800,6150.374280,8100.710596,9055.003000
dFCFS,0,125000,0.01,123716,1284,4.580000,14.429000,42.946000,469.253750,1499.973000,4255.529100,5631.723650,17435.638000,1004.039000,1013.661000,1045.410500,1452.219250,2671.218400,5547.689190,9865.301887,16589.656000
dFCFS,0,150000,0.01,148532,1468,4.543000,17.763000,128.559000,1237.630750,3542.118200,9977.971440,12489.343164,21240.986000,1003.742000,1017.243000,1114.077000,2283.957000,4782.033800,11847.535250,14472.466297,30068.588000
dFCFS,0,175000,0.01,173275,1725,4.445000,20.366500,166.076000,1175.504000,3070.242600,7311.063340,8920.812836,20378.750000,1003.760000,1019.757000,1173.213000,2234.258000,4187.419400,8014.852560,10345.168072,14308.575000
dFCFS,0,200000,0.01,198007,1993,4.529000,32.031000,572.977000,2379.169000,4905.443800,15303.366440,19145.148594,49574.161000,1004.340000,1049.093000,1833.973000,3624.254000,6067.141200,15561.221240,19485.534224,20568.070000
